Mutation,Rarity,Win%,Avg Turns,Timeouts,Rating
"Second Wind","Rare","93.8%","14.5","0","🔴 OVERPOWERED"
"Thorn Skin","Rare","93.5%","11.1","0","🔴 OVERPOWERED"
"Corrosive Touch","Epic","87.2%","11.8","0","🔴 OVERPOWERED"
"Assassinate","Legendary","86.1%","11.8","0","🔴 OVERPOWERED"
"Thick Hide","Epic","86.0%","14.3","0","🔴 OVERPOWERED"
"Brutal Strike","Common","85.4%","11.6","0","🔴 OVERPOWERED"
"Momentum","Epic","81.7%","12.3","0","🔴 OVERPOWERED"
"Adrenaline Rush","Rare","77.5%","13.1","0","🔴 OVERPOWERED"
"Quick Reflex","Common","76.9%","14.0","0","🔴 OVERPOWERED"
"Berserker","Legendary","75.5%","12.1","0","🔴 OVERPOWERED"
"Echo Strike","Epic","73.7%","12.7","0","🔴 OVERPOWERED"
"Bloodletting","Common","70.0%","13.0","0","🔴 OVERPOWERED"
"Lifetap","Epic","68.5%","11.6","0","🟠 Strong"
"Phantom Step","Rare","68.1%","12.9","0","🟠 Strong"
"Bloodthirst","Rare","30.0%","12.1","0","⚪ Underpowered"