Mutation,Rarity,Pure STR (150/50),Balanced (100/100),Pure AGI (50/150),Best Stat,Spread
"Bloodletting","Common","57%","69.8%","71.4%","⚡ AGI","14.4%"
"Corrosive Touch","Epic","80.4%","85.7%","87%","⚡ AGI","6.6%"
"Momentum","Epic","60.4%","80.2%","74.9%","⚖️ Balanced","19.8%"
"Assassinate","Legendary","84.7%","86.2%","87.1%","⚡ AGI","2.4%"
"Second Wind","Rare","88.1%","92.6%","90.5%","⚖️ Balanced","4.5%"
"Quick Reflex","Common","57.6%","74.8%","75.2%","⚡ AGI","17.6%"
"Brutal Strike","Common","62.3%","87%","76.6%","⚖️ Balanced","24.7%"
"Adrenaline Rush","Rare","61.8%","77%","71.6%","⚖️ Balanced","15.2%"
"Echo Strike","Epic","58.9%","73.8%","72.5%","⚖️ Balanced","14.9%"
"Thick Hide","Epic","88.5%","86.6%","77.8%","💪 STR","10.7%"
"Thorn Skin","Rare","92.1%","94.4%","88.6%","⚖️ Balanced","5.8%"
"Lifetap","Epic","50.4%","71.7%","71.4%","⚖️ Balanced","21.3%"
"Phantom Step","Rare","42.5%","67.8%","74.1%","⚡ AGI","31.6%"
"Berserker","Legendary","64.4%","76.3%","66.4%","⚖️ Balanced","11.9%"
"Bloodthirst","Rare","3.8%","31.3%","32.7%","⚡ AGI","28.9%"