Opponent Mutation,Rarity,Berserker Win%,Avg Turns,Verdict
"Bloodthirst","Rare","90.9%","10.2","🔴 Berserker crushes"
"Bloodletting","Common","65.2%","11.8","🔴 Berserker crushes"
"Phantom Step","Rare","61.7%","11.6","🟠 Berserker favored"
"Echo Strike","Epic","58.5%","11.5","🟠 Berserker favored"
"Adrenaline Rush","Rare","57.9%","11.8","🟠 Berserker favored"
"Momentum","Epic","57.4%","11.5","🟠 Berserker favored"
"Lifetap","Epic","56.1%","10.8","🟠 Berserker favored"
"Quick Reflex","Common","55.3%","12.9","🟠 Berserker favored"
"Brutal Strike","Common","51.2%","11.3","🟢 Even matchup"
"Corrosive Touch","Epic","48.1%","11.3","🟢 Even matchup"
"Assassinate","Legendary","44.6%","11.3","🟠 Counter favored"
"Thick Hide","Epic","44.2%","13.5","🟠 Counter favored"
"Thorn Skin","Rare","32.0%","10.8","🔴 Hard counter"
"Second Wind","Rare","26.7%","14.0","🔴 Hard counter"